162.159.36.239:443#SIN-SG
162.159.27.148:443#SIN-SG
172.64.150.108:443#SIN-SG
172.64.158.208:443#SIN-SG
162.159.21.227:443#SIN-SG
162.159.33.49:443#SIN-SG
172.64.33.187:443#SIN-SG
104.18.41.169:443#SIN-SG
162.159.18.168:443#SIN-SG
162.159.23.86:443#SIN-SG
172.64.34.67:443#SIN-SG
172.64.149.1:443#SIN-SG
162.159.11.25:443#SIN-SG
162.159.49.207:443#SIN-SG
172.64.42.76:443#SIN-SG
172.64.50.183:443#SIN-SG
172.64.148.167:443#SIN-SG
162.159.16.151:443#SIN-SG
172.64.154.243:443#SIN-SG
198.41.223.58:443#SIN-SG
